Name,Active substance,Date of authorisation / refusal,Status,Therapeutic area,url
Emtriva,emtricitabine,2003-10-24,Authorised,HIV Infections,index.jsp?curl=pages/medicines/human/medicines/000533/human_med_000763.jsp
Enbrel,etanercept,2000-02-03,Authorised,"Arthritis, Juvenile Rheumatoid  Arthritis, Psoriatic  Arthritis, Rheumatoid  Psoriasis  Spondylitis, Ankylosing",index.jsp?curl=pages/medicines/human/medicines/000262/human_med_000764.jsp
EndolucinBeta,lutetium (177 Lu) chloride,2016-07-06,Authorised,Radionuclide Imaging,index.jsp?curl=pages/medicines/human/medicines/003999/human_med_001989.jsp
Entacapone Orion,entacapone,2011-08-18,Authorised,Parkinson Disease,index.jsp?curl=pages/medicines/human/medicines/002440/human_med_001478.jsp
Entacapone Teva,entacapone,2011-02-18,Authorised,Parkinson Disease,index.jsp?curl=pages/medicines/human/medicines/002075/human_med_001414.jsp
Entresto,sacubitril / valsartan,2015-11-19,Authorised,Heart Failure,index.jsp?curl=pages/medicines/human/medicines/004062/human_med_001929.jsp
Entyvio,vedolizumab,2014-05-22,Authorised,"Colitis, Ulcerative  Crohn Disease",index.jsp?curl=pages/medicines/human/medicines/002782/human_med_001751.jsp
Enurev Breezhaler,glycopyrronium bromide,2012-09-28,Authorised,"Pulmonary Disease, Chronic Obstructive",index.jsp?curl=pages/medicines/human/medicines/002691/human_med_001579.jsp
Envarsus,tacrolimus,2014-07-18,Authorised,Graft Rejection,index.jsp?curl=pages/medicines/human/medicines/002655/human_med_001779.jsp
Enviage,aliskiren,2007-08-22,Withdrawn,Hypertension,index.jsp?curl=pages/medicines/human/medicines/000850/human_med_000765.jsp
Enyglid,repaglinide,2009-10-14,Authorised,"Diabetes Mellitus, Type 2",index.jsp?curl=pages/medicines/human/medicines/001065/human_med_000766.jsp
Enzepi,pancreas powder,2016-06-29,Authorised,Exocrine Pancreatic Insufficiency,index.jsp?curl=pages/medicines/human/medicines/002070/human_med_001990.jsp
Epclusa,sofosbuvir / velpatasvir,2016-07-06,Authorised,"Hepatitis C, Chronic",index.jsp?curl=pages/medicines/human/medicines/004210/human_med_001997.jsp
Eperzan,albiglutide,2014-03-21,Authorised,"Diabetes Mellitus, Type 2",index.jsp?curl=pages/medicines/human/medicines/002735/human_med_001735.jsp
Episalvan,betulae cortex dry extract (5-10 : 1); extraction solvent: n-heptane 95% (w/w),2016-01-14,Authorised,Wound Healing  Wounds and Injuries,index.jsp?curl=pages/medicines/human/medicines/003938/human_med_001956.jsp
Epivir,lamivudine,1996-08-08,Authorised,HIV Infections,index.jsp?curl=pages/medicines/human/medicines/000107/human_med_000767.jsp
Epoetin Alfa Hexal,epoetin alfa,2007-08-28,Authorised,"Anemia  Cancer  Kidney Failure, Chronic",index.jsp?curl=pages/medicines/human/medicines/000726/human_med_000768.jsp
Eporatio,epoetin theta,2009-10-29,Authorised,"Anemia  Cancer  Kidney Failure, Chronic",index.jsp?curl=pages/medicines/human/medicines/001033/human_med_001204.jsp
Eptifibatide Accord,eptifibatide,2016-01-11,Authorised,Myocardial Infarction,index.jsp?curl=pages/medicines/human/medicines/004104/human_med_001946.jsp
Erbitux,cetuximab,2004-06-29,Authorised,Colorectal Neoplasms  Head and Neck Neoplasms,index.jsp?curl=pages/medicines/human/medicines/000558/human_med_000769.jsp
Erivedge,vismodegib,2013-07-12,Authorised,"Carcinoma, Basal Cell",index.jsp?curl=pages/medicines/human/medicines/002602/human_med_001659.jsp
Esbriet,pirfenidone,2011-02-28,Authorised,Idiopathic Pulmonary Fibrosis,index.jsp?curl=pages/medicines/human/medicines/002154/human_med_001417.jsp
Esmya,ulipristal acetate,2012-02-23,Authorised,Leiomyoma,index.jsp?curl=pages/medicines/human/medicines/002041/human_med_001542.jsp
Eucreas,vildagliptin / metformin hydrochloride,2007-11-14,Authorised,"Diabetes Mellitus, Type 2",index.jsp?curl=pages/medicines/human/medicines/000807/human_med_000770.jsp
Eurartesim,piperaquine tetraphosphate / dihydroartemisinin,2011-10-27,Authorised,Malaria,index.jsp?curl=pages/medicines/human/medicines/001199/human_med_001450.jsp
Evarrest,human fibrinogen / human thrombin,2013-09-25,Authorised,Hemostasis,index.jsp?curl=pages/medicines/human/medicines/002515/human_med_001675.jsp
Evicel,human fibrinogen / human thrombin,2008-10-06,Authorised,"Hemostasis, Surgical",index.jsp?curl=pages/medicines/human/medicines/000898/human_med_000771.jsp
Eviplera,emtricitabine / rilpivirine hydrochloride / tenofovir disoproxil fumarate,2011-11-28,Authorised,HIV Infections,index.jsp?curl=pages/medicines/human/medicines/002312/human_med_001514.jsp
Evista,raloxifene hydrochloride,1998-08-05,Authorised,"Osteoporosis, Postmenopausal",index.jsp?curl=pages/medicines/human/medicines/000184/human_med_000772.jsp
Evoltra,clofarabine,2006-05-29,Authorised,Precursor Cell Lymphoblastic Leukemia-Lymphoma,index.jsp?curl=pages/medicines/human/medicines/000613/human_med_000773.jsp
Evotaz,atazanavir sulfate / cobicistat,2015-07-13,Authorised,HIV Infections,index.jsp?curl=pages/medicines/human/medicines/003904/human_med_001884.jsp
Evotopin,topotecan,1997-04-15,Withdrawn,Ovarian Neoplasms,index.jsp?curl=pages/medicines/human/medicines/000124/human_med_000774.jsp
Evra,norelgestromin / ethinyl estradiol,2002-08-22,Authorised,Contraception,index.jsp?curl=pages/medicines/human/medicines/000410/human_med_000775.jsp
Exalief,eslicarbazepine acetate,2009-04-21,Withdrawn,Epilepsy,index.jsp?curl=pages/medicines/human/medicines/000987/human_med_000776.jsp
Exelon,rivastigmine,1998-05-12,Authorised,Alzheimer Disease  Dementia  Parkinson Disease,index.jsp?curl=pages/medicines/human/medicines/000169/human_med_000777.jsp
Exforge,amlodipine (as besylate) / valsartan,2007-01-17,Authorised,Hypertension,index.jsp?curl=pages/medicines/human/medicines/000716/human_med_000778.jsp
Exforge HCT,amlodipine besylate / valsartan / hydrochlorothiazide,2009-10-16,Authorised,Hypertension,index.jsp?curl=pages/medicines/human/medicines/001068/human_med_000779.jsp
Exjade,deferasirox,2006-08-28,Authorised,Iron Overload  beta-Thalassemia,index.jsp?curl=pages/medicines/human/medicines/000670/human_med_000780.jsp
Extavia,interferon beta-1b,2008-05-20,Authorised,Multiple Sclerosis,index.jsp?curl=pages/medicines/human/medicines/000933/human_med_000781.jsp
Exubera,insulin human,2006-01-24,Withdrawn,Diabetes Mellitus,index.jsp?curl=pages/medicines/human/medicines/000588/human_med_000782.jsp
Exviera,dasabuvir sodium,2015-01-15,Authorised,"Hepatitis C, Chronic",index.jsp?curl=pages/medicines/human/medicines/003837/human_med_001833.jsp
Eylea,aflibercept,2012-11-22,Authorised,Diabetes Complications  Macular Edema  Wet Macular Degeneration,index.jsp?curl=pages/medicines/human/medicines/002392/human_med_001598.jsp
Fablyn,lasofoxifene tartrate,2009-02-24,Withdrawn,"Osteoporosis, Postmenopausal",index.jsp?curl=pages/medicines/human/medicines/000977/human_med_000783.jsp
Fabrazyme,agalsidase beta,2001-08-03,Authorised,Fabry Disease,index.jsp?curl=pages/medicines/human/medicines/000370/human_med_000784.jsp
Fampyra,fampridine,2011-07-20,Authorised,Multiple Sclerosis,index.jsp?curl=pages/medicines/human/medicines/002097/human_med_001432.jsp
Fareston,toremifene,1996-02-14,Authorised,Breast Neoplasms,index.jsp?curl=pages/medicines/human/medicines/000091/human_med_000785.jsp
Farydak,panobinostat lactate anhydrous,2015-08-28,Authorised,Multiple Myeloma,index.jsp?curl=pages/medicines/human/medicines/003725/human_med_001895.jsp
Faslodex,fulvestrant,2004-03-10,Authorised,Breast Neoplasms,index.jsp?curl=pages/medicines/human/medicines/000540/human_med_000786.jsp
Fasturtec,rasburicase,2001-02-23,Authorised,Hyperuricemia,index.jsp?curl=pages/medicines/human/medicines/000331/human_med_000787.jsp
Fendrix,hepatitis B surface antigen,2005-02-02,Authorised,Hepatitis B  Immunization,index.jsp?curl=pages/medicines/human/medicines/000550/human_med_000788.jsp
Feraccru,ferric maltol,2016-02-18,Authorised,"Anemia, Iron-Deficiency",index.jsp?curl=pages/medicines/human/medicines/002733/human_med_001947.jsp
Ferriprox,deferiprone,1999-08-25,Authorised,Iron Overload  beta-Thalassemia,index.jsp?curl=pages/medicines/human/medicines/000236/human_med_000789.jsp
Fertavid,follitropin beta,2009-03-19,Authorised,Hypogonadism  Infertility,index.jsp?curl=pages/medicines/human/medicines/001042/human_med_000790.jsp
Fexeric,ferric citrate coordination complex,2015-09-23,Authorised,Hyperphosphatemia  Renal Dialysis,index.jsp?curl=pages/medicines/human/medicines/003776/human_med_001908.jsp
Fiasp,insulin aspart,2017-01-09,Authorised,Diabetes Mellitus,index.jsp?curl=pages/medicines/human/medicines/004046/human_med_002063.jsp
Filgrastim Hexal,filgrastim,2009-02-06,Authorised,Cancer  Hematopoietic Stem Cell Transplantation  Neutropenia,index.jsp?curl=pages/medicines/human/medicines/000918/human_med_000791.jsp
Filgrastim ratiopharm,filgrastim,2008-09-15,Withdrawn,Cancer  Hematopoietic Stem Cell Transplantation  Neutropenia,index.jsp?curl=pages/medicines/human/medicines/000824/human_med_000792.jsp
Firazyr,icatibant,2008-07-11,Authorised,"Angioedemas, Hereditary",index.jsp?curl=pages/medicines/human/medicines/000899/human_med_000793.jsp
Firdapse (previously Zenas),amifampridine,2009-12-23,Authorised,Lambert-Eaton Myasthenic Syndrome,index.jsp?curl=pages/medicines/human/medicines/001032/human_med_001298.jsp
Firmagon,degarelix,2009-02-17,Authorised,Prostatic Neoplasms,index.jsp?curl=pages/medicines/human/medicines/000986/human_med_000794.jsp
Flebogamma DIF (previously Flebogammadif),human normal immunoglobulin,2007-07-23,Authorised,"Bone Marrow Transplantation  Guillain-Barre Syndrome  Immunologic Deficiency Syndromes  Mucocutaneous Lymph Node Syndrome  Purpura, Thrombocytopenic, Idiopathic",index.jsp?curl=pages/medicines/human/medicines/000781/human_med_000795.jsp
Flixabi,infliximab,2016-05-26,Authorised,"Arthritis, Psoriatic  Arthritis, Rheumatoid  Colitis, Ulcerative  Crohn Disease  Psoriasis  Spondylitis, Ankylosing",index.jsp?curl=pages/medicines/human/medicines/004020/human_med_001980.jsp
Fluenz,"Reassortant influenza virus (live attenuated) of the following strains: A/California/7/2009 (H1N1)pdm09 like strain, A/Victoria/361/2011 (H3N2) like strain, B/Massachusetts/2/2012 like strain",2011-01-27,Withdrawn,"Immunization  Influenza, Human",index.jsp?curl=pages/medicines/human/medicines/001101/human_med_001405.jsp
Fluenz Tetra,"reassortant influenza virus (live attenuated) of the following four strains:A/California/7/2009 (H1N1)pdm09 - like strain(A/Bolivia/559/2013, MEDI 255962)A/Hong Kong/4801/2014 (H3N2) - like strain(A/New Caledonia/71/2014, MEDI 263122)B/Brisbane/60/2008 - like strain(B/Brisbane/60/2008, MEDI 228030)B/Phuket/3073/2013 - like strain(B/Phuket/3073/2013, MEDI 254977)",2013-12-04,Authorised,"Influenza, Human",index.jsp?curl=pages/medicines/human/medicines/002617/human_med_001713.jsp
Focetria,Influenza virus surface antigens (haemagglutinin and neuraminidase) of strain: A/California/7/2009 (H1N1)-derived strain used NYMC X-181 7.5 microgragms per 0.5 ml dose,2007-05-02,Withdrawn,"Disease Outbreaks  Immunization  Influenza, Human",index.jsp?curl=pages/medicines/human/medicines/000710/human_med_000796.jsp
Foclivia,"influenza virus surface antigens, inactivated: A/Viet Nam/1194/2004 (H5N1)",2009-10-19,Authorised,"Disease Outbreaks  Immunization  Influenza, Human",index.jsp?curl=pages/medicines/human/medicines/001208/human_med_001216.jsp
Folotyn,pralatrexate,2012-06-21,Refused,"Lymphoma, T-Cell",index.jsp?curl=pages/medicines/human/medicines/002096/human_med_001545.jsp
Forcaltonin,recombinant salmon calcitonin (rsct),1999-01-11,Withdrawn,Bone Resorption  Hypercalcemia  Osteitis Deformans,index.jsp?curl=pages/medicines/human/medicines/000197/human_med_000797.jsp
Forsteo,teriparatide,2003-06-10,Authorised,"Osteoporosis  Osteoporosis, Postmenopausal",index.jsp?curl=pages/medicines/human/medicines/000425/human_med_000798.jsp
Fortacin,lidocaine / prilocaine,2013-11-15,Authorised,"Sexual Dysfunction, Physiological",index.jsp?curl=pages/medicines/human/medicines/002693/human_med_001704.jsp
Fortovase,saquinavir,1998-08-20,Withdrawn,HIV Infections,index.jsp?curl=pages/medicines/human/medicines/000178/human_med_000799.jsp
Forxiga,dapagliflozin propanediol monohydrate,2012-11-12,Authorised,"Diabetes Mellitus, Type 2",index.jsp?curl=pages/medicines/human/medicines/002322/human_med_001546.jsp
Fosavance,alendronic acid / colecalciferol,2005-08-24,Authorised,"Osteoporosis, Postmenopausal",index.jsp?curl=pages/medicines/human/medicines/000619/human_med_000800.jsp
Foscan,temoporfin,2001-10-24,Authorised,"Carcinoma, Squamous Cell  Head and Neck Neoplasms",index.jsp?curl=pages/medicines/human/medicines/000318/human_med_000801.jsp
Fuzeon,enfuvirtide,2003-05-27,Authorised,HIV Infections,index.jsp?curl=pages/medicines/human/medicines/000514/human_med_000802.jsp
Fycompa,perampanel,2012-07-23,Authorised,"Epilepsies, Partial",index.jsp?curl=pages/medicines/human/medicines/002434/human_med_001572.jsp
Galafold,migalastat hydrochloride,2016-05-26,Authorised,Fabry Disease,index.jsp?curl=pages/medicines/human/medicines/004059/human_med_001981.jsp
Galvus,vildagliptin,2007-09-26,Authorised,"Diabetes Mellitus, Type 2",index.jsp?curl=pages/medicines/human/medicines/000771/human_med_000803.jsp
Ganfort,bimatoprost / timolol,2006-05-19,Authorised,"Glaucoma, Open-Angle  Ocular Hypertension",index.jsp?curl=pages/medicines/human/medicines/000668/human_med_000804.jsp
Gardasil,human papillomavirus type 6 L1 protein / human papillomavirus type 11 L1 protein / human papillomavirus type 16 L1 protein / human papillomavirus type 18 L1 protein,2006-09-20,Authorised,Condylomata Acuminata  Immunization  Papillomavirus Infections  Uterine Cervical Dysplasia,index.jsp?curl=pages/medicines/human/medicines/000703/human_med_000805.jsp
Gardasil 9,"human papillomavirus vaccine [types 6, 11, 16, 18, 31, 33, 45, 52, 58] (recombinant, adsorbed)",2015-06-10,Authorised,Condylomata Acuminata  Immunization  Papillomavirus Infections  Uterine Cervical Dysplasia,index.jsp?curl=pages/medicines/human/medicines/003852/human_med_001863.jsp
Gazyvaro,obinutuzumab,2014-07-23,Authorised,"Leukemia, Lymphocytic, Chronic, B-Cell",index.jsp?curl=pages/medicines/human/medicines/002799/human_med_001780.jsp
Gemesis,becaplermin,2010-01-29,Refused,"Guided Tissue Regeneration, Periodontal",index.jsp?curl=pages/medicines/human/medicines/000997/human_med_001312.jsp
Genasense,oblimersen,2007-10-15,Refused,Melanoma,index.jsp?curl=pages/medicines/human/medicines/000711/human_med_000806.jsp
Genvoya,elvitegravir / cobicistat / emtricitabine / tenofovir alafenamide,2015-11-19,Authorised,HIV Infections,index.jsp?curl=pages/medicines/human/medicines/004042/human_med_001940.jsp
Gilenya,fingolimod hydrochloride,2011-03-17,Authorised,Multiple Sclerosis,index.jsp?curl=pages/medicines/human/medicines/002202/human_med_001433.jsp
Giotrif,afatinib,2013-09-25,Authorised,"Carcinoma, Non-Small-Cell Lung",index.jsp?curl=pages/medicines/human/medicines/002280/human_med_001698.jsp
Glidipion (previously Pioglitazone Actavis Group),pioglitazone hydrochloride,2012-03-15,Authorised,"Diabetes Mellitus, Type 2",index.jsp?curl=pages/medicines/human/medicines/002558/human_med_001520.jsp
Gliolan,5-aminolevulinic acid hydrochloride,2007-09-07,Authorised,Glioma,index.jsp?curl=pages/medicines/human/medicines/000744/human_med_000807.jsp
Glivec,imatinib,2001-11-07,Authorised,"Dermatofibrosarcoma  Gastrointestinal Stromal Tumors  Hypereosinophilic Syndrome  Leukemia, Myelogenous, Chronic, BCR-ABL Positive  Myelodysplastic-Myeloproliferative Diseases  Precursor Cell Lymphoblastic Leukemia-Lymphoma",index.jsp?curl=pages/medicines/human/medicines/000406/human_med_000808.jsp
Glubrava,metformin hydrochloride / pioglitazone hydrochloride,2007-12-11,Authorised,"Diabetes Mellitus, Type 2",index.jsp?curl=pages/medicines/human/medicines/000893/human_med_000809.jsp
Glustin,pioglitazone hydrochloride,2000-10-11,Authorised,"Diabetes Mellitus, Type 2",index.jsp?curl=pages/medicines/human/medicines/000286/human_med_000810.jsp
Glybera,alipogene tiparvovec,2012-10-25,Authorised,Hyperlipoproteinemia Type I,index.jsp?curl=pages/medicines/human/medicines/002145/human_med_001480.jsp
Glyxambi,empagliflozin / linagliptin,2016-11-11,Authorised,"Diabetes Mellitus, Type 2",index.jsp?curl=pages/medicines/human/medicines/003833/human_med_002032.jsp
GONAL-f,follitropin alfa,1995-10-20,Authorised,"Anovulation  Hypogonadism  Infertility, Female  Reproductive Techniques, Assisted",index.jsp?curl=pages/medicines/human/medicines/000071/human_med_000811.jsp
Granpidam,sildenafil citrate,2016-11-14,Authorised,"Hypertension, Pulmonary",index.jsp?curl=pages/medicines/human/medicines/004289/human_med_002033.jsp
Granupas (previously Para-aminosalicylic acid Lucane),para-aminosalicylic acid,2014-04-07,Authorised,Tuberculosis,index.jsp?curl=pages/medicines/human/medicines/002709/human_med_001719.jsp
Grastofil,filgrastim,2013-10-18,Authorised,Neutropenia,index.jsp?curl=pages/medicines/human/medicines/002150/human_med_001688.jsp
Grepid,clopidogrel besilate,2009-07-28,Authorised,Myocardial Infarction  Peripheral Vascular Diseases  Stroke,index.jsp?curl=pages/medicines/human/medicines/001059/human_med_000812.jsp
Halaven,eribulin,2011-03-17,Authorised,Breast Neoplasms  Liposarcoma,index.jsp?curl=pages/medicines/human/medicines/002084/human_med_001427.jsp
Harvoni,ledispavir 90 mg / sofosbuvir 400 mg,2014-11-17,Authorised,"Hepatitis C, Chronic",index.jsp?curl=pages/medicines/human/medicines/003850/human_med_001813.jsp
HBVaxPro,"hepatitis B, recombinant surface antigen",2001-04-27,Authorised,Hepatitis B  Immunization,index.jsp?curl=pages/medicines/human/medicines/000373/human_med_000813.jsp
Helicobacter Test INFAI,13C-urea,1997-08-14,Authorised,Breath Tests  Helicobacter Infections,index.jsp?curl=pages/medicines/human/medicines/000140/human_med_000814.jsp
Helixate NexGen,octocog alfa,2000-08-04,Authorised,Hemophilia A,index.jsp?curl=pages/medicines/human/medicines/000276/human_med_000815.jsp
Hemangiol,propranolol hydrochloride,2014-04-23,Authorised,Hemangioma,index.jsp?curl=pages/medicines/human/medicines/002621/human_med_001752.jsp
Hepacare,"hepatitis B, recombinant surface antigen",2000-08-04,Withdrawn,Hepatitis B  Immunization,index.jsp?curl=pages/medicines/human/medicines/000261/human_med_000816.jsp
Heparesc,human heterologous liver cells,2015-12-21,Refused,"Urea Cycle Disorders, Inborn",index.jsp?curl=pages/medicines/human/medicines/003750/human_med_001885.jsp
Hepsera,adefovir dipivoxil,2003-03-06,Authorised,"Hepatitis B, Chronic",index.jsp?curl=pages/medicines/human/medicines/000485/human_med_000817.jsp
Herceptin,trastuzumab,2000-08-28,Authorised,Breast Neoplasms  Stomach Neoplasms,index.jsp?curl=pages/medicines/human/medicines/000278/human_med_000818.jsp
Hetlioz,tasimelteon,2015-07-03,Authorised,"Sleep Disorders, Circadian Rhythm",index.jsp?curl=pages/medicines/human/medicines/003870/human_med_001873.jsp
Hexacima,"diphtheria toxoid / tetanus toxoid / two-component acellular pertussis (pertussis toxoid and filamentous haemagglutinin ) / inactivated poliomyelitis virus types 1,2 and 3 / Haemophilus influenzae type-b polysaccharide (polyribosylribitol phosphate) conjugated to tetanus protein / hepatitis-B surface antigen",2013-04-17,Authorised,"Diphtheria  Hepatitis B  Immunization  Meningitis, Haemophilus  Poliomyelitis  Tetanus  Whooping Cough",index.jsp?curl=pages/medicines/human/medicines/002702/human_med_001640.jsp
Hexavac,purified diphtheria toxoid / purified tetanus toxoid / purified pertussis toxoid / purified pertussis filamentous haemagglutinin / hepatitis B surface antigen / inactivated type 1 poliovirus (Mahoney) / inactivated type 2 poliovirus (MEF 1) / inactivated type 3 poliovirus (Saukett) / Haemophilus influenzae type b polysaccharide,2000-10-23,Withdrawn,"Diphtheria  Hepatitis B  Immunization  Meningitis, Haemophilus  Poliomyelitis  Tetanus  Whooping Cough",index.jsp?curl=pages/medicines/human/medicines/000298/human_med_000819.jsp
Hexyon,"diphtheria toxoid / tetanus toxoid / two-component acellular pertussis (pertussis toxoid and filamentous haemagglutinin) / inactivated poliomyelitis virus types 1, 2 and 3 / Haemophilus influenzae type-b polysaccharide (polyribosylribitol phosphate) conjugated to tetanus protein / hepatitis-B surface antigen",2013-04-17,Authorised,"Diphtheria  Hepatitis B  Immunization  Meningitis, Haemophilus  Poliomyelitis  Tetanus  Whooping Cough",index.jsp?curl=pages/medicines/human/medicines/002796/human_med_001641.jsp
Hirobriz Breezhaler,indacaterol maleate,2009-11-30,Authorised,"Pulmonary Disease, Chronic Obstructive",index.jsp?curl=pages/medicines/human/medicines/001211/human_med_001217.jsp
Hizentra,human normal immunoglobulin (SCIg),2011-04-14,Authorised,Immunologic Deficiency Syndromes,index.jsp?curl=pages/medicines/human/medicines/002127/human_med_001440.jsp
Holoclar,ex vivo expanded autologous human corneal epithelial cells containing stem cells,2015-02-17,Authorised,Corneal Diseases  Stem Cell Transplantation,index.jsp?curl=pages/medicines/human/medicines/002450/human_med_001844.jsp
Humalog,insulin lispro,1996-04-30,Authorised,Diabetes Mellitus,index.jsp?curl=pages/medicines/human/medicines/000088/human_med_000820.jsp
HumaSPECT,votumumab,1998-09-25,Withdrawn,"Colorectal Neoplasms  Tomography, X-Ray Computed  Ultrasonography",index.jsp?curl=pages/medicines/human/medicines/000145/human_med_000821.jsp
Humenza,"split influenza virus, inactivated, containing antigen*: A/California/7/2009 (H1N1)v like strain (X-179A) *propagated in eggs.",2010-06-08,Withdrawn,"Disease Outbreaks  Immunization  Influenza, Human",index.jsp?curl=pages/medicines/human/medicines/001202/human_med_001335.jsp
Humira,adalimumab,2003-09-08,Authorised,"Arthritis, Juvenile Rheumatoid  Arthritis, Psoriatic  Arthritis, Rheumatoid  Colitis, Ulcerative  Crohn Disease  Psoriasis  Spondylitis, Ankylosing",index.jsp?curl=pages/medicines/human/medicines/000481/human_med_000822.jsp
Hycamtin,topotecan,1996-11-12,Authorised,Ovarian Neoplasms  Small Cell Lung Carcinoma  Uterine Cervical Neoplasms,index.jsp?curl=pages/medicines/human/medicines/000123/human_med_000823.jsp
HyQvia,human normal immunoglobulin,2013-05-16,Authorised,Immunologic Deficiency Syndromes,index.jsp?curl=pages/medicines/human/medicines/002491/human_med_001647.jsp
Iasibon,ibandronic acid,2011-01-21,Authorised,"Breast Neoplasms  Fractures, Bone  Hypercalcemia  Neoplasm Metastasis",index.jsp?curl=pages/medicines/human/medicines/002025/human_med_001406.jsp
Ibandronic acid Accord,ibandronic acid,2012-11-19,Authorised,Breast Diseases  Calcium Metabolism Disorders  Neoplasms by Site  Neoplastic Processes  Water-Electrolyte Imbalance  Wounds and Injuries,index.jsp?curl=pages/medicines/human/medicines/002638/human_med_001602.jsp
Ibandronic Acid Sandoz,ibandronic acid,2011-07-26,Authorised,"Breast Neoplasms  Fractures, Bone  Neoplasm Metastasis",index.jsp?curl=pages/medicines/human/medicines/002367/human_med_001442.jsp
Ibandronic Acid Teva,ibandronic acid,2010-09-17,Authorised,"Breast Neoplasms  Fractures, Bone  Neoplasm Metastasis  Osteoporosis, Postmenopausal",index.jsp?curl=pages/medicines/human/medicines/001195/human_med_001376.jsp
Iblias,octocog alfa,2016-02-18,Authorised,Hemophilia A,index.jsp?curl=pages/medicines/human/medicines/004147/human_med_001958.jsp
Ibrance,palbociclib,2016-11-09,Authorised,Breast Neoplasms,index.jsp?curl=pages/medicines/human/medicines/003853/human_med_002034.jsp
Icandra (previously Vildagliptin / metformin hydrochloride Novartis),vildagliptin / metformin hydrochloride,2008-12-01,Authorised,"Diabetes Mellitus, Type 2",index.jsp?curl=pages/medicines/human/medicines/001050/human_med_000824.jsp
Iclusig,ponatinib,2013-07-01,Authorised,"Leukemia, Lymphoid  Leukemia, Myeloid",index.jsp?curl=pages/medicines/human/medicines/002695/human_med_001656.jsp
Idelvion,albutrepenonacog alfa,2016-05-11,Authorised,Hemophilia B,index.jsp?curl=pages/medicines/human/medicines/003955/human_med_001974.jsp
IDflu,"influenza virus (inactivated, split) of the following strains:A/California/7/2009 (H1N1)pdm09 - like strain (A/California/7/2009, NYMC X-179A)A/Hong Kong/4801/2014 (H3N2) - like strain (A/Hong Kong/4801/2014, NYMC X-263B)B/Brisbane/60/2008 - like strain (B/Brisbane/60/2008, wild type)",2009-02-24,Authorised,"Immunization  Influenza, Human",index.jsp?curl=pages/medicines/human/medicines/000966/human_med_000825.jsp
Ifirmacombi,irbesartan / hydrochlorothiazide,2011-03-04,Authorised,Hypertension,index.jsp?curl=pages/medicines/human/medicines/002302/human_med_001418.jsp
Ifirmasta (previously Irbesartan Krka),irbesartan hydrochloride,2008-12-01,Authorised,Hypertension,index.jsp?curl=pages/medicines/human/medicines/000962/human_med_000854.jsp
Ikervis,ciclosporin,2015-03-19,Authorised,Corneal Diseases,index.jsp?curl=pages/medicines/human/medicines/002066/human_med_001851.jsp
Ilaris,canakinumab,2009-10-23,Authorised,"Arthritis, Gouty  Arthritis, Juvenile Rheumatoid  Cryopyrin-associated Periodic Syndromes",index.jsp?curl=pages/medicines/human/medicines/001109/human_med_000826.jsp
Imatinib Accord,imatinib,2013-07-01,Authorised,"Dermatofibrosarcoma  Hypereosinophilic Syndrome  Leukemia, Myelogenous, Chronic, BCR-ABL Positive  Myelodysplastic-Myeloproliferative Diseases  Precursor Cell Lymphoblastic Leukemia-Lymphoma",index.jsp?curl=pages/medicines/human/medicines/002681/human_med_001664.jsp
Imatinib Actavis,imatinib,2013-04-17,Authorised,"Dermatofibrosarcoma  Hypereosinophilic Syndrome  Leukemia, Myelogenous, Chronic, BCR-ABL Positive  Myelodysplastic-Myeloproliferative Diseases  Precursor Cell Lymphoblastic Leukemia-Lymphoma",index.jsp?curl=pages/medicines/human/medicines/002594/human_med_001635.jsp
Imatinib medac,imatinib,2013-09-25,Authorised,"Dermatofibrosarcoma  Hypereosinophilic Syndrome  Leukemia, Myelogenous, Chronic, BCR-ABL Positive  Myelodysplastic-Myeloproliferative Diseases  Precursor Cell Lymphoblastic Leukemia-Lymphoma",index.jsp?curl=pages/medicines/human/medicines/002692/human_med_001697.jsp
Imatinib Teva,imatinib,2013-01-08,Authorised,"Dermatofibrosarcoma  Hypereosinophilic Syndrome  Leukemia, Myelogenous, Chronic, BCR-ABL Positive  Myelodysplastic-Myeloproliferative Diseases  Precursor Cell Lymphoblastic Leukemia-Lymphoma",index.jsp?curl=pages/medicines/human/medicines/002585/human_med_001606.jsp
Imbruvica,ibrutinib,2014-10-21,Authorised,"Leukemia, Lymphocytic, Chronic, B-Cell  Lymphoma, Mantle-Cell",index.jsp?curl=pages/medicines/human/medicines/003791/human_med_001801.jsp
Imlygic,talimogene laherparepvec,2015-12-16,Authorised,Melanoma,index.jsp?curl=pages/medicines/human/medicines/002771/human_med_001941.jsp
ImmunoGam,human hepatitis B immunoglobulin,2010-03-16,Withdrawn,"Hepatitis B  Immunization, Passive",index.jsp?curl=pages/medicines/human/medicines/001055/human_med_001329.jsp
Imnovid (previously Pomalidomide Celgene),pomalidomide,2013-08-05,Authorised,Multiple Myeloma,index.jsp?curl=pages/medicines/human/medicines/002682/human_med_001669.jsp
Imprida,amlodipine (as besylate) / valsartan,2007-01-17,Authorised,Hypertension,index.jsp?curl=pages/medicines/human/medicines/000775/human_med_000827.jsp
Imprida HCT,amlodipine / valsartan / hydrochlorothiazide,2009-10-15,Withdrawn,Hypertension,index.jsp?curl=pages/medicines/human/medicines/001161/human_med_000828.jsp
