,Name,Active substance,Date of authorisation / refusal,Status,Therapeutic area,url,atc,emea,indication,wdid,wdid_mix,rxcui,rxcui_mix,rxcui_combo
233,Docetaxel Winthrop,docetaxel,2007-04-20,Authorised,"Adenocarcinoma  Breast Neoplasms  Carcinoma, Non-Small-Cell Lung  Head and Neck Neoplasms  Prostatic Neoplasms  Stomach Neoplasms",index.jsp?curl=pages/medicines/human/medicines/000808/human_med_000743.jsp,L01CD02,EMEA/H/C/000808,"Breast cancer
Docetaxel Winthrop in combination with doxorubicin and cyclophosphamide is indicated for the adjuvant treatment of patients with:

operable node-positive breast cancer;
operable node-negative breast cancer.

For patients with operable node-negative breast cancer, adjuvant treatment should be restricted to patients eligible to receive chemotherapy according to internationally established criteria for primary therapy of early breast cancer.
Docetaxel Winthrop in combination with doxorubicin is indicated for the treatment of patients with locally advanced or metastatic breast cancer who have not previously received cytotoxic therapy for this condition.
Docetaxel Winthrop monotherapy is indicated for the treatment of patients with locally advanced or metastatic breast cancer after failure of cytotoxic therapy. Previous chemotherapy should have included an anthracycline or an alkylating agent.
Docetaxel Winthrop in combination with trastuzumab is indicated for the treatment of patients with metastatic breast cancer whose tumours overexpress HER2 and who previously have not received chemotherapy for metastatic disease.
Docetaxel Winthrop in combination with capecitabine is indicated for the treatment of patients with locally advanced or metastatic breast cancer after failure of cytotoxic chemotherapy. Previous therapy should have included an anthracycline.
Non-small-cell lung cancer
Docetaxel Winthrop is indicated for the treatment of patients with locally advanced or metastatic non-small-cell lung cancer after failure of prior chemotherapy.
Docetaxel Winthrop in combination with cisplatin is indicated for the treatment of patients with unresectable, locally advanced or metastatic non-small-cell lung cancer, in patients who have not previously received chemotherapy for this condition.
Prostate cancer
Docetaxel Winthrop in combination with prednisone or prednisolone is indicated for the treatment of patients with hormone-refractory metastatic prostate cancer.
Gastric adenocarcinoma
Docetaxel Winthrop in combination with cisplatin and 5-fluorouracil is indicated for the treatment of patients with metastatic gastric adenocarcinoma, including adenocarcinoma of the gastroesophageal junction, who have not received prior chemotherapy for metastatic disease.
Head and neck cancer
Docetaxel Winthrop in combination with cisplatin and 5-fluorouracil is indicated for the induction treatment of patients with locally advanced squamous cell carcinoma of the head and neck.",Q420436,,1299922,,
234,Doribax,doripenem,2008-07-25,Withdrawn,"Bacterial Infections  Cross Infection  Pneumonia, Bacterial  Pneumonia, Ventilator-Associated  Urinary Tract Infections",index.jsp?curl=pages/medicines/human/medicines/000891/human_med_000744.jsp,J01DH04,EMEA/H/C/000891,"Doribax is indicated for the treatment of the following infections in adults:

nosocomial pneumonia (including ventilator-associated pneumonia);
complicated intra-abdominal infections;
complicated urinary tract infections.

Consideration should be given to official guidance on the appropriate use of antibacterial agents.",Q411552,,119771,,
235,Dropcys,mercaptamine,2016-06-24,Refused,Corneal Diseases  Cystinosis,index.jsp?curl=pages/medicines/human/medicines/004038/human_med_001964.jsp,S01XA21,EMEA/H/C/004038,Treatment of corneal cystine deposits,Q617563,,3022,,
236,Duaklir Genuair,aclidinium bromide / formoterol fumarate dihydrate,2014-11-19,Authorised,"Pulmonary Disease, Chronic Obstructive",index.jsp?curl=pages/medicines/human/medicines/003745/human_med_001811.jsp,R03AL,EMEA/H/C/003745,Duaklir Genuair is indicated as a maintenance bronchodilator treatment to relieve symptoms in adult patients with chronic obstructive pulmonary disease (COPD).,,,,,
237,Duavive,oestrogens conjugated / bazedoxifene,2014-12-16,Authorised,Osteoporosis,index.jsp?curl=pages/medicines/human/medicines/002314/human_med_001824.jsp,G03CX,EMEA/H/C/002314,"Duavive is indicated for:
Treatment of oestrogen deficiency symptoms in postmenopausal women with a uterus (with at least 12 months since the last menses) for whom treatment with progestin-containing therapy is not appropriate.
The experience treating women older than 65 years is limited.",,,,,
238,Dukoral,recombinant cholera toxin B subunit / vibrio cholerae 01,2004-04-28,Authorised,Cholera  Immunization,index.jsp?curl=pages/medicines/human/medicines/000476/human_med_000745.jsp,J07AE01,EMEA/H/C/000476,"Dukoral is indicated for active immunisation against disease caused by Vibrio cholerae serogroup O1 in adults and children from 2 years of age who will be visiting endemic/epidemic areas.
The use of Dukoral should be determined on the basis of official recommendations taking into consideration the variability of epidemiology and the risk of contracting disease in different geographical areas and travelling conditions.
Dukoralshould not replace standard protective measures. In the event of diarrhoea measures of rehydration should be instituted.",Q1812946,,,,
239,Duloxetine Boehringer Ingelheim,duloxetine,2008-10-08,Withdrawn,Diabetic Neuropathies,index.jsp?curl=pages/medicines/human/medicines/001007/human_med_000746.jsp,N06AX21,EMEA/H/C/001007,Treatment of diabetic peripheral neuropathic pain in adults.,Q411932,,72625,,
240,Duloxetine Lilly,duloxetine,2014-12-08,Authorised,Diabetic Neuropathies  Neuralgia,index.jsp?curl=pages/medicines/human/medicines/004000/human_med_001828.jsp,N06AX21,EMEA/H/C/004000,"Duloxetine Lilly is indicated in adults for:

Treatment of major depressive disorder
Treatment of diabetic peripheral neuropathic pain
Treatment of generalised anxiety disorder

Duloxetine Lilly is indicated in adults.",Q411932,,72625,,
241,Duloxetine Mylan,duloxetine,2015-06-19,Authorised,"Anxiety Disorders  Depressive Disorder, Major  Diabetic Neuropathies  Neuralgia",index.jsp?curl=pages/medicines/human/medicines/003981/human_med_001871.jsp,N06AX21,EMEA/H/C/003981,"
Treatment of major depressive disorder;
Treatment of diabetic peripheral neuropathic pain;
Treatment of generalised anxiety disorder;
Duloxetine Myl++an is indicated in adults.

For further information see section 5.1.",Q411932,,72625,,
242,Duloxetine Zentiva,duloxetine,2015-08-20,Authorised,"Anxiety Disorders  Depressive Disorder, Major  Diabetes Mellitus  Neuralgia",index.jsp?curl=pages/medicines/human/medicines/003935/human_med_001894.jsp,N06AX21,EMEA/H/C/003935,"Treatment depressive disorder, diabetic neuropathic pain, anxiety disorder.
Duloxetine Zentiva is indicated in adults.",Q411932,,72625,,
243,DuoPlavin,clopidogrel / acetylsalicylic acid,2010-03-15,Authorised,Acute Coronary Syndrome  Myocardial Infarction,index.jsp?curl=pages/medicines/human/medicines/001143/human_med_001325.jsp,B01AC30,EMEA/H/C/001143,"DuoPlavin is indicated for the prevention of atherothrombotic events in adult patients already taking both clopidogrel and acetylsalicylic acid (ASA). DuoPlavin is a fixed-dose combination medicinal product for continuation of therapy in:

non-ST-segment-elevation acute coronary syndrome (unstable angina or non-Q-wave myocardial infarction) including patients undergoing a stent placement following percutaneous coronary intervention;
ST-segment-elevation acute myocardial infarction in medically treated patients eligible for thrombolytic therapy.
",,"['Q410237', 'Q18216']",,"['32968', '1191']",
244,DuoResp Spiromax,budesonide / formoterol fumarate dihydrate,2014-04-28,Authorised,"Asthma  Pulmonary Disease, Chronic Obstructive",index.jsp?curl=pages/medicines/human/medicines/002348/human_med_001749.jsp,R03AK07,EMEA/H/C/002348,"DuoResp Spiromax is indicated in adults 18 years of age and older only.
Asthma
DuoResp Spiromax is indicated in the regular treatment of asthma, where use of a combination (inhaled corticosteroid and long-acting 2 adrenoceptor agonist) is appropriate:

in patients not adequately controlled with inhaled corticosteroids and as needed inhaled short-acting 2 adrenoceptor agonists;
in patients already adequately controlled on both inhaled corticosteroids and long-acting 2 adrenoceptor agonists.

Chronic obstructive pulmonary disease
Symptomatic treatment of patients with severe chronic obstructive pulmonary disease - COPD (FEV1  50% predicted normal) and a history of repeated exacerbations, who have significant symptoms despite regular therapy with long-acting bronchodilators.",,,,,
245,DuoTrav,travoprost / timolol,2006-04-24,Authorised,"Glaucoma, Open-Angle  Ocular Hypertension",index.jsp?curl=pages/medicines/human/medicines/000665/human_med_000747.jsp,S01ED51,EMEA/H/C/000665,Decrease of intraocular pressure (IOP) in adult patients with open-angle glaucoma or ocular hypertension who are insufficiently responsive to topical beta-blockers or prostaglandin analogues (see section 5.1).,,"['Q2193376', 'Q27128592']",,"['283809', None]",
246,Dutrebis,lamivudine / raltegravir potassium,2015-03-26,Authorised,HIV Infections,index.jsp?curl=pages/medicines/human/medicines/003823/human_med_001850.jsp,J05AR16,EMEA/H/C/003823,"Dutrebis is indicated in combination with other antiretroviral medicinal products for the treatment of human immunodeficiency virus (HIV1) infection in adults, adolescents, and children from the age of 6years and weighing at least 30kg without present or past evidence of viral resistance to antiviral agents of the InSTI (Integrase Strand Transfer Inhibitor) and NRTI (Nucleoside Reverse Transcriptase Inhibitor) classes (see sections4.2, 4.4 and 5.1).",,"['Q422631', 'Q27258678']",,"['68244', '1235585']",
247,Dynastat,parecoxib sodium,2002-03-22,Authorised,"Pain, Postoperative",index.jsp?curl=pages/medicines/human/medicines/000381/human_med_000748.jsp,M01AH04,EMEA/H/C/000381,For the short-term treatment of postoperative pain in adults.,Q347941,,279950,,
248,Dynepo,epoetin delta,2002-03-18,Withdrawn,"Anemia  Kidney Failure, Chronic",index.jsp?curl=pages/medicines/human/medicines/000372/human_med_000749.jsp,B03XA,EMEA/H/C/000372,Dynepo is indicated for the treatment of symptomatic anaemia associated with chronic renal failure (CRF) in adult patients. It may be used in patients on dialysis and in patients not on dialysis.,,,,,
249,Ebilfumin,oseltamivir,2014-05-22,Authorised,"Influenza, Human",index.jsp?curl=pages/medicines/human/medicines/003717/human_med_001770.jsp,J05AH02,EMEA/H/C/003717,"Treatment of influenzaIn patients one year of age and older who present with symptoms typical of influenza, when influenza virus is circulating in the community.
Ebilfumin is indicated for the treatment of infants less than 1 year of age during a pandemic influenza outbreak (see section 5.2 of the SmPC). The treating physician should take into account the pathogenicity of the circulating strain and the underlying condition of the patient to ensure there is a potential benefit to the child.
Prevention of influenzaPost-exposure prevention in individuals 1 year of age or older following contact with a clinically diagnosed influenza case when influenza virus is circulating in the community.
The appropriate use of Ebilfumin for prevention of influenza should be determined on a case by case basis by the circumstances and the population requiring protection. In exceptional situations (e.g. in case of a mismatch between the circulating and vaccine virus strains, and a pandemic situation) seasonal prevention could be considered in individuals one year of age or older.
Ebilfumin is indicated for post-exposure prevention of influenza in infants less than 1 year of age during a pandemic influenza outbreak (see section 5.2 of the SmPC).
Ebilfumin is not a substitute for influenza vaccination.",Q211509,,260101,,
250,Ebixa,memantine hydrochloride,2002-05-15,Authorised,Alzheimer Disease,index.jsp?curl=pages/medicines/human/medicines/000463/human_med_000750.jsp,N06DX01,EMEA/H/C/000463,Treatment of patients with moderate to severe Alzheimer's disease.,Q412189,,6719,,
251,Ebymect,dapagliflozin propanediol monohydrate / metformin hydrochloride,2015-11-16,Authorised,"Diabetes Mellitus, Type 2",index.jsp?curl=pages/medicines/human/medicines/004162/human_med_001926.jsp,A10BD15,EMEA/H/C/004162,"Ebymect is indicated in adults aged 18 years and older with type 2 diabetes mellitus as an adjunct to diet and exercise to improve glycaemic control: 

in patients inadequately controlled on their maximally tolerated dose of metformin alone
in combination with other glucose lowering medicinal products, including insulin, in patients inadequately controlled with metformin and these medicinal products (see sections 4.4, 4.5 and 5.1 for available data on different combinations)
in patients already being treated with the combination of dapagliflozin and metformin as separate tablets.

",,,,,
252,Ecalta,anidulafungin,2007-09-20,Authorised,Candidiasis,index.jsp?curl=pages/medicines/human/medicines/000788/human_med_000751.jsp,J02AX06,EMEA/H/C/000788,"Treatment of invasive candidiasis in adult non-neutropenic patients.
Ecalta has been studied primarily in patients with candidaemia and only in a limited number of patients with deep tissue Candida infections or with abscess-forming disease.",Q4764531,,341018,,
253,Ecansya (previously Capecitabine Krka),capecitabine,2012-04-20,Authorised,Breast Neoplasms  Colonic Neoplasms  Colorectal Neoplasms  Stomach Neoplasms,index.jsp?curl=pages/medicines/human/medicines/002605/human_med_001554.jsp,L01BC06 ,EMEA/H/C/002605,"Ecansya is indicated for the adjuvant treatment of patients following surgery of stage-III (Dukes stage-C) colon cancer.
Ecansya is indicated for the treatment of metastatic colorectal cancer.
Ecansya is indicated for first-line treatment of advanced gastric cancer in combination with a platinum-based regimen.
Ecansya in combination with docetaxel is indicated for the treatment of patients with locally advanced or metastatic breast cancer after failure of cytotoxic chemotherapy. Previous therapy should have included an anthracycline. Ecansya is also indicated as monotherapy for the treatment of patients with locally advanced or metastatic breast cancer after failure of taxanes and an anthracycline containing chemotherapy regimen or for whom further anthracycline therapy is not indicated.",Q420207,,194000,,
254,EchoGen,dodecafluoropentane,1998-07-17,Withdrawn,Echocardiography,index.jsp?curl=pages/medicines/human/medicines/000149/human_med_000752.jsp,V08DA,EMEA/H/C/000149,"EchoGen is a transpulmonary echocardiographic contrast agent for use in patients with suspected or established cardiovascular disease to provide opacification of cardiac chambers, enhance left ventricular border delineation with resulting improvement in wall motion visualisation.EchoGen should only be used in patients where the study without contrast enhancement is inconclusive.",,,,,
255,Ecokinase,reteplase,1996-08-29,Withdrawn,Myocardial Infarction,index.jsp?curl=pages/medicines/human/medicines/000106/human_med_000753.jsp,B01AD07,EMEA/H/C/000106,Thrombolytic therapy of acute myocardial infarction,Q3933703,,,,
256,Edarbi,azilsartan medoxomil,2011-12-07,Authorised,Hypertension,index.jsp?curl=pages/medicines/human/medicines/002293/human_med_001512.jsp,C09CA09,EMEA/H/C/002293,Edarbi is indicated for the treatment of essential hypertension in adults.,Q1087888,,1091642,,
257,Edistride,dapagliflozin propanediol monohydrate,2015-11-09,Authorised,"Diabetes Mellitus, Type 2",index.jsp?curl=pages/medicines/human/medicines/004161/human_med_001927.jsp,A10BX09,EMEA/H/C/004161,"Edistride is indicated in adults aged 18 years and older with type-2 diabetes mellitus to improve glycaemic control as:
Monotherapy
When diet and exercise alone do not provide adequate glycaemic control in patients for whom use of metformin is considered inappropriate due to intolerance.
Add-on combination therapy
In combination with other glucose-lowering medicinal products including insulin, when these, together with diet and exercise, do not provide adequate glycaemic control.",Q409898,,1488564,,
258,Edurant,rilpivirine hydrochloride,2011-11-28,Authorised,HIV Infections,index.jsp?curl=pages/medicines/human/medicines/002264/human_med_001513.jsp,J05AG05,EMEA/H/C/002264,"Edurant, in combination with other antiretroviral medicinal products, is indicated for the treatment of human immunodeficiency virus type1 (HIV1) infection in antiretroviral treatmentnave patients 12years of age and older with a viral load 100,000HIV1 RNA copies/ml.
As with other antiretroviral medicinal products, genotypic resistance testing should guide the use of Edurant.",Q421547,,1102270,,
259,Efavirenz Teva,efavirenz,2012-01-09,Authorised,HIV Infections,index.jsp?curl=pages/medicines/human/medicines/002352/human_med_001530.jsp,J05AG03,EMEA/H/C/002352,"Efavirenz is indicated in antiviral combination treatment of human-immunodeficiency-virus-1 (HIV-1)-infected adults, adolescents and children 3 years of age and older.
Efavirenz has not been adequately studied in patients with advanced HIV disease, namely in patients with CD4 counts  50 cells/mm3, or after failure of protease inhibitor (PI)-containing regimens. Although cross-resistance of efavirenz with protease inhibitors (PIs) has not been documented, there are at present insufficient data on the efficacy of subsequent use of PI-based combination therapy after failure of regimens containing efavirenz.",Q422645,,195085,,
260,Effentora,fentanyl,2008-04-04,Authorised,Cancer  Pain,index.jsp?curl=pages/medicines/human/medicines/000833/human_med_000754.jsp,N02AB03,EMEA/H/C/000833,"Effentora is indicated for the treatment of breakthrough pain (BTP) in adults with cancer who are already receiving maintenance opioid therapy for chronic cancer pain.
BTP is a transitory exacerbation of pain that occurs on a background of otherwise controlled persistent pain.
Patients receiving maintenance opioid therapy are those who are taking at least 60 mg of oral morphine daily, at least 25 micrograms of transdermal fentanyl per hour, at least 30 mg of oxycodone daily, at least 8 mg of oral hydromorphone daily or an equianalgesic dose of another opioid for a week or longer.",Q407541,,4337,,
261,Efficib,sitagliptin / metformin hydrochloride,2008-07-16,Authorised,"Diabetes Mellitus, Type 2",index.jsp?curl=pages/medicines/human/medicines/000896/human_med_000755.jsp,A10BD07,EMEA/H/C/000896,"For patients with type-2 diabetes mellitus:

Efficib is indicated as an adjunct to diet and exercise to improve glycaemic control in patients inadequately controlled on their maximal tolerated dose of metformin alone or those already being treated with the combination of sitagliptin and metformin.
Efficib is indicated in combination with a sulphonylurea (i.e. triple combination therapy) as an adjunct to diet and exercise in patients inadequately controlled on their maximal tolerated dose of metformin and a sulphonylurea.
Efficib is indicated as triple combination therapy with a PPAR agonist (i.e. a thiazolidinedione) as an adjunct to diet and exercise in patients inadequately controlled on their maximal tolerated dose of metformin and a PPAR agonist.
Efficib is also indicated as add on to insulin (i.e., triple combination therapy) as an adjunct to diet and exercise to improve glycaemic control in patients when stable dosage of insulin and metformin alone do not provide adequate glycaemic control.
",,"['Q419832', 'Q27089363']",,"['593411', '235743']",
262,Efient,prasugrel,2009-02-23,Authorised,"Acute Coronary Syndrome  Angina, Unstable  Myocardial Infarction",index.jsp?curl=pages/medicines/human/medicines/000984/human_med_000756.jsp,B01AC22,EMEA/H/C/000984,"Efient, co-administered with acetylsalicylic acid (ASA), is indicated for the prevention of atherothrombotic events in patients with acute coronary syndrome (i.e. unstable angina, non-ST-segment-elevation myocardial infarction [UA / NSTEMI] or ST-segment-elevation myocardial infarction [STEMI]) undergoing primary or delayed percutaneous coronary intervention (PCI).",Q416232,,613391,,
263,Eklira Genuair,"aclidinium bromide, micronised",2012-07-20,Authorised,"Pulmonary Disease, Chronic Obstructive",index.jsp?curl=pages/medicines/human/medicines/002211/human_med_001571.jsp,R03BB  ,EMEA/H/C/002211,Eklira Genuair is indicated as a maintenance bronchodilator treatment to relieve symptoms in adult patients with chronic obstructive pulmonary disease (COPD).,,,,,
264,Elaprase,idursulfase,2007-01-08,Authorised,Mucopolysaccharidosis II,index.jsp?curl=pages/medicines/human/medicines/000700/human_med_000757.jsp,A16AB09,EMEA/H/C/000700,"Elaprase is indicated for the long-term treatment of patients with Hunter syndrome (mucopolysaccharidosis II, MPS II). Heterozygous females were not studied in the clinical trials.",Q415801,,,,
265,Elelyso,taliglucerase alfa,2012-10-25,Refused,Gaucher Disease,index.jsp?curl=pages/medicines/human/medicines/002250/human_med_001587.jsp,A16AB11,EMEA/H/C/002250,treatment of Gaucher disease,Q7679506,,,,
266,Eliquis,apixaban,2011-05-18,Authorised,Arthroplasty  Venous Thromboembolism,index.jsp?curl=pages/medicines/human/medicines/002148/human_med_001449.jsp,B01AF02,EMEA/H/C/002148,Prevention of venous thromboembolic events (VTE) in adult patients who have undergone elective hip- or knee-replacement surgery.,Q414462,,1364430,,
267,ellaOne,ulipristal,2009-05-15,Authorised,"Contraception, Postcoital",index.jsp?curl=pages/medicines/human/medicines/001027/human_med_000758.jsp,G03AD02,EMEA/H/C/001027,Emergency contraception within 120 hours (five days) of unprotected sexual intercourse or contraceptive failure.,Q27264992,,1005921,,
268,Elocta,efmoroctocog alfa,2015-11-19,Authorised,Hemophilia A,index.jsp?curl=pages/medicines/human/medicines/003964/human_med_001928.jsp,B02BD02,EMEA/H/C/003964,"Treatment and prophylaxis of bleeding in patients with haemophilia A (congenital factor VIII deficiency).
Elocta can be used for all age groups.",,,,,
269,Elonva,corifollitropin alfa,2010-01-25,Authorised,"Ovulation Induction  Reproductive Techniques, Assisted",index.jsp?curl=pages/medicines/human/medicines/001106/human_med_001327.jsp,G03GA09,EMEA/H/C/001106,Controlled ovarian stimulation in combination with a gonadotrophin-releasing-hormone antagonist for the development of multiple follicles in women participating in an assisted-reproductive-technology programme.,,,,,
270,Emadine,emedastine,1999-01-27,Authorised,"Conjunctivitis, Allergic",index.jsp?curl=pages/medicines/human/medicines/000223/human_med_000759.jsp,S01GX06,EMEA/H/C/000223,Symptomatic treatment of seasonal allergic conjunctivitis.,Q5370305,,28144,,
271,Emend,aprepitant,2003-11-11,Authorised,Cancer  Postoperative Nausea and Vomiting  Vomiting,index.jsp?curl=pages/medicines/human/medicines/000527/human_med_000760.jsp,A04AD12,EMEA/H/C/000527,"Emend 40 mg hard capsules is indicated for the prevention of postoperative nausea and vomiting (PONV) in adults.
Emend is also available as 80 mg and 125 mg hard capsules for the prevention of nausea and vomiting associated with highly and moderately emetogenic cancer chemotherapy in adults and adolescents from the age of 12 (see separate Summary of Product Characteristics).
Emend is also available as 165 mg hard capsules for the prevention of acute and delayed nausea and vomiting associated with highly emetogenic cisplatin based cancer chemotherapy in adults and the prevention of nausea and vomiting associated with moderately emetogenic cancer chemotherapy in adults.
Emend is also available as powder for oral suspension for the prevention of nausea and vomiting associated with highly and moderately emetogenic cancer chemotherapy in children, toddlers and infants from the age of 6 months to less than 12 years.
Emend 80 mg, 125 mg, 165 mg hard capsules and Emend powder for oral suspension are given as part of combination therapy.",Q621834,,358255,,
272,Empliciti,elotuzumab,2016-05-11,Authorised,Multiple Myeloma,index.jsp?curl=pages/medicines/human/medicines/003967/human_med_001968.jsp,L01XC,EMEA/H/C/003967,Empliciti is indicated in combination with lenalidomide and dexamethasone for the treatment of multiple myeloma in adult patients who have received at least one prior therapy.,Q3723645,,1726104,,
273,Emselex,darifenacin hydrobromide,2004-10-22,Authorised,"Urinary Bladder, Overactive  Urinary Incontinence, Urge",index.jsp?curl=pages/medicines/human/medicines/000554/human_med_000762.jsp,G04BD10,EMEA/H/C/000554,Symptomatic treatment of urge incontinence and/or increased urinary frequency and urgency as may occur in adult patients with overactive bladder syndrome.,Q166476,,136198,,
274,Emtricitabine / Tenofovir disoproxil Mylan,emtricitabine / tenofovir disoproxil maleate,2016-12-16,Authorised,HIV Infections,index.jsp?curl=pages/medicines/human/medicines/004050/human_med_002046.jsp,J05AR03,EMEA/H/C/004050,Emtricitabine/Tenofovir disoproxil Mylan is indicated in antiretroviral combination therapy for the treatment of HIV 1 infected adults.,,"['Q422604', 'Q27268017']",,"['276237', None]",
275,Emtricitabine/Tenofovir disoproxil Zentiva,"emtricitabine, tenofovir disoproxil phosphate",2016-11-09,Authorised,HIV Infections,index.jsp?curl=pages/medicines/human/medicines/004137/human_med_002031.jsp,J05AR03,EMEA/H/C/004137,Treatment of HIV infection.,,,,,
276,Emtriva,emtricitabine,2003-10-24,Authorised,HIV Infections,index.jsp?curl=pages/medicines/human/medicines/000533/human_med_000763.jsp,J05AF09,EMEA/H/C/000533,"Emtriva is indicated for the treatment of HIV-1 infected adults and children in combination with other antiretroviral agents.
This indication is based on studies in treatment-naive patients and treatment-experienced patients with stable virological control. There is no experience of the use of Emtriva in patients who are failing their current regimen or who have failed multiple regimens.
When deciding on a new regimen for patients who have failed an antiretroviral regimen, careful consideration should be given to the patterns of mutations associated with different medicinal products and the treatment history of the individual patient. Where available, resistance testing may be appropriate.",Q422604,,276237,,
277,Enbrel,etanercept,2000-02-03,Authorised,"Arthritis, Juvenile Rheumatoid  Arthritis, Psoriatic  Arthritis, Rheumatoid  Psoriasis  Spondylitis, Ankylosing",index.jsp?curl=pages/medicines/human/medicines/000262/human_med_000764.jsp,L04AB01,EMEA/H/C/000262,"Rheumatoid arthritis
Enbrel in combination with methotrexate is indicated for the treatment of moderate to severe active rheumatoid arthritis in adults when the response to disease-modifying antirheumatic drugs, including methotrexate (unless contraindicated), has been inadequate.
Enbrel can be given as monotherapy in case of intolerance to methotrexate or when continued treatment with methotrexate is inappropriate.
Enbrel is also indicated in the treatment of severe, active and progressive rheumatoid arthritis in adults not previously treated with methotrexate.
Enbrel, alone or in combination with methotrexate, has been shown to reduce the rate of progression of joint damage as measured by X-ray and to improve physical function.
Juvenile idiopathic arthritis
Treatment of polyarthritis (rheumatoid-factor-positive or -negative) and extended oligoarthritis in children and adolescents from the age oftwo years who have had an inadequate response to, or who have proved intolerant of, methotrexate.
Treatment of psoriatic arthritis in adolescents from the age of 12 years who have had an inadequate response to, or who have proved intolerant of, methotrexate.
Treatment of enthesitis-related arthritis in adolescents from the age of 12 years who have had an inadequate response to, or who have proved intolerant of, conventional therapy.
Enbrel has not been studied in children aged less thantwo years.
Psoriatic arthritis
Treatment of active and progressive psoriatic arthritis in adults when the response to previous disease-modifying antirheumatic drug therapy has been inadequate. Enbrel has been shown to improve physical function in patients with psoriatic arthritis, and to reduce the rate of progression of peripheral joint damage as measured by X-ray in patients with polyarticular symmetrical subtypes of the disease.
Axial spondyloarthritis
Ankylosing spondylitis (AS)
Treatment of adults with severe active ankylosing spondylitis who have had an inadequate response to conventional therapy.
Non-radiographic axial spondyloarthritis
Treatment of adults with severe non-radiographic axial spondyloarthritis with objective signs of inflammation as indicated by elevated C-reactive protein (CRP) and/or magnetic resonance imaging (MRI) evidence, who have had an inadequate response to nonsteroidal anti-inflammatory drugs (NSAIDs).
Plaque psoriasis 
Treatment of adults with moderate to severe plaque psoriasis who failed to respond to, or who have a contraindication to, or are intolerant to other systemic therapy, including ciclosporin, methotrexate or psoralen and ultraviolet-A light (PUVA).
Paediatric plaque psoriasis 
Treatment of chronic severe plaque psoriasis in children and adolescents from the age ofsix years who are inadequately controlled by, or are intolerant to, other systemic therapies or phototherapies.",Q415343,,,,
278,EndolucinBeta,lutetium (177 Lu) chloride,2016-07-06,Authorised,Radionuclide Imaging,index.jsp?curl=pages/medicines/human/medicines/003999/human_med_001989.jsp,V10X,EMEA/H/C/003999,"EndolucinBeta is a radiopharmaceutical precursor, and it is not intended for direct use in patients. It is to be used only for the radiolabelling of carrier molecules that have been specifically developed and authorised for radiolabelling with Lutetium (177Lu) chloride.",,,,,
279,Entacapone Orion,entacapone,2011-08-18,Authorised,Parkinson Disease,index.jsp?curl=pages/medicines/human/medicines/002440/human_med_001478.jsp,N04BX02  ,EMEA/H/C/002440,"Entacapone is indicated as an adjunct to standard preparations of levodopa / benserazide or levodopa / carbidopa for use in adult patients with Parkinson's disease and end-of-dose motor fluctuations, who cannot be stabilised on those combinations.",Q416444,,60307,,
280,Entacapone Teva,entacapone,2011-02-18,Authorised,Parkinson Disease,index.jsp?curl=pages/medicines/human/medicines/002075/human_med_001414.jsp,N04BX02,EMEA/H/C/002075,"Entacapone is indicated as an adjunct to standard preparations of levodopa / benserazide or levodopa / carbidopa for use in adult patients with Parkinson's disease and end-of-dose motor fluctuations, who cannot be stabilised on those combinations.",Q416444,,60307,,
281,Entresto,sacubitril / valsartan,2015-11-19,Authorised,Heart Failure,index.jsp?curl=pages/medicines/human/medicines/004062/human_med_001929.jsp,C09DX04,EMEA/H/C/004062,Entresto is indicated in adult patients for treatment of symptomatic chronic heart failure with reduced ejection fraction.,,"['Q17811448', 'Q155472']",,"['1656328', '69749']",1656339
282,Entyvio,vedolizumab,2014-05-22,Authorised,"Colitis, Ulcerative  Crohn Disease",index.jsp?curl=pages/medicines/human/medicines/002782/human_med_001751.jsp,L04AA,EMEA/H/C/002782,"Ulcerative colitisEntyvio is indicated for the treatment of adult patients with moderately to severely active ulcerative colitis who have had an inadequate response with, lost response to, or were intolerant to either conventional therapy or a tumour necrosis factor alpha (TNF) antagonist.
Crohns disease Entyvio is indicated for the treatment of adult patients with moderately to severely active Crohns disease who have had an inadequate response with, lost response to, or were intolerant to either conventional therapy or a tumour necrosis factor alpha (TNF) antagonist.",Q7918002,,,,
283,Enurev Breezhaler,glycopyrronium bromide,2012-09-28,Authorised,"Pulmonary Disease, Chronic Obstructive",index.jsp?curl=pages/medicines/human/medicines/002691/human_med_001579.jsp,R03BB06,EMEA/H/C/002691            ,Enurev Breezhaler is indicated as a maintenance bronchodilator treatment to relieve symptoms in adult patients with chronic obstructive pulmonary disease (COPD).,Q411917,,,,
284,Envarsus,tacrolimus,2014-07-18,Authorised,Graft Rejection,index.jsp?curl=pages/medicines/human/medicines/002655/human_med_001779.jsp,L04AD02,EMEA/H/C/002655,Prophylaxis of transplant rejection in adult kidney or liver allograft recipients. Treatment of allograft rejection resistant to treatment with other immunosuppressive medicinal products in adult patients.,Q411648,,235991,,
285,Enviage,aliskiren,2007-08-22,Withdrawn,Hypertension,index.jsp?curl=pages/medicines/human/medicines/000850/human_med_000765.jsp,C09XA02,EMEA/H/C/000850,Treatment of essential hypertension,Q414904,,325646,,
