,Product,EU Designation,Designated Orphan Indication,Sponsor,Designation date,TradenameEU Centralised NrImplemented on,drug_qid,indication,doid,hpo,ordo,mesh,indication_qid_doid,indication_qid_ordo,indication_qid_mesh
382,Bevacizumab,EU/3/14/1390,Treatment of hereditary haemorrhagic telangiectasia,Dr Sophie Dupuis-Girod,16/12/2014,,Q413299,hereditary hemorrhagic telangiectasia,http://purl.obolibrary.org/obo/DOID_1270,,http://www.orpha.net/ORDO/Orphanet_774,D013683,Q776881,Q776881,Q776881
383,Bilayer engineered collagen hydrogel-based skin graft composed of autologous keratinocytes and fibroblasts,EU/3/15/1596,Treatment of partial deep dermal and full thickness burns,Voisin Consulting S.A.R.L.,14/12/2015,,,partial deep dermal and full thickness burns,,,,,,,
384,Bilayer engineered skin composed of keratinocytes from the patient (autologous) and fibroblasts from a donor (allogeneic) embedded in a plasma matrix,EU/3/06/369,Treatment of epidermolysis bullosa,Biodan Yelah S.L.,22/05/2006,,,epidermolysis bullosa,http://purl.obolibrary.org/obo/DOID_2730,,,D004820,Q923020,,Q923020
385,Bimosiamose disodium,EU/3/05/285,Treatment of acute lung injury,Revotar Biopharmaceuticals AG,27/05/2005,,Q27266838,acute lung injury,,,http://www.orpha.net/ORDO/Orphanet_178320,D055371,,,
386,Biotinylated anti-tenascin monoclonal antibody for use with 90-Yttrium,EU/3/04/232,Treatment of glioma,Sigma-Tau Industrie Farmaceutiche Riunite S.p.A,20/10/2004,,,glioma,http://purl.obolibrary.org/obo/DOID_3070,http://purl.obolibrary.org/obo/HP_0009733,http://www.orpha.net/ORDO/Orphanet_182067,D005910,Q1365309,Q1365309,Q18556612
387,Blinatumomab,EU/3/09/650,Treatment of acute lymphoblastic leukaemia,Amgen Europe B.V.,24/07/2009,BlincytoEU/1/15/104725/11/2015,Q410189,acute lymphoblastic leukemia,http://purl.obolibrary.org/obo/DOID_9952,http://purl.obolibrary.org/obo/HP_0006721,http://www.orpha.net/ORDO/Orphanet_513,D054198,Q180664,Q180664,Q6708277
388,Bosutinib,EU/3/10/762,Treatment of chronic myeloid leukaemia,Pfizer Limited,04/08/2010,BosulifEU/1/13/81802/04/2013,Q894611,chronic myeloid leukemia,http://purl.obolibrary.org/obo/DOID_8552,http://purl.obolibrary.org/obo/HP_0005506,http://www.orpha.net/ORDO/Orphanet_521,D015464,Q729735,,Q729735
389,Bovine bile extract,EU/3/05/287,Treatment of pancreatic cancer,Dr Ulrich Granzer,20/06/2005,,,pancreatic cancer,http://purl.obolibrary.org/obo/DOID_1793,http://purl.obolibrary.org/obo/HP_0002894,,D010190,Q212961,,Q212961
390,Brentuximab vedotin,EU/3/11/939,Treatment of cutaneous T-cell lymphoma,Takeda Pharma A/S,11/01/2012,,Q422324,cutaneos tcell lymphoma,http://purl.obolibrary.org/obo/DOID_0060061,http://purl.obolibrary.org/obo/HP_0012192,,D016410,Q5196687,,Q5196687
391,Brincidofovir,EU/3/16/1644,Prevention of cytomegalovirus disease,Chimerix UK Ltd,28/04/2016,,Q15411004,cytomegalovirus disease,,,,,,,
392,Brincidofovir,EU/3/16/1697,Treatment of adenovirus infection in immunocompromised patients,Chimerix UK Ltd,14/07/2016,,Q15411004,adenovirus infection in immunocompromised patients,,,,,,,
393,Brincidofovir,EU/3/16/1777,Treatment of smallpox,Chimerix UK Ltd,18/11/2016,,Q15411004,smallpox,http://purl.obolibrary.org/obo/DOID_8736,,,D012899,Q12214,,Q18558071
394,Brivudine,EU/3/09/703,Treatment of pancreatic cancer,RESprotect GmbH,28/01/2010,,Q904107,pancreatic cancer,http://purl.obolibrary.org/obo/DOID_1793,http://purl.obolibrary.org/obo/HP_0002894,,D010190,Q212961,,Q212961
395,Budesonide,EU/3/13/1181,Treatment of eosinophilic oesophagitis,Dr Falk Pharma GmbH,05/08/2013,,Q422212,eosinophilic oesophagitis,,,,,,,
396,Budesonide,EU/3/16/1778,Treatment of primary IgA nephropathy,Pharmalink AB,18/11/2016,,Q422212,primary iga nephropathy,http://purl.obolibrary.org/obo/DOID_2986,,,,Q1146454,,
397,Budesonide (oral use),EU/3/06/413,Treatment of Graft-versus-Host disease,Dr Falk Pharma GmbH,03/11/2006,,Q27252075,graftversushost disease,,,,D006086,,,Q1194520
398,Cabiralizumab,EU/3/16/1799,"Treatment of tenosynovial giant cell tumour, localised and diffuse type",Albany Regulatory Consulting Limited,12/12/2016,,,"tenosynovial giant cell tumor, localised and diffuse type",,,,,,,
399,Caffeine citrate,EU/3/03/132,Treatment of primary apnoea of premature newborns,Chiesi Farmaceutici S.P.A.,17/02/2003,PeyonaEU/1/09/52806/07/2009,Q2974480,primary apnoea of premature newborns,,,,,,,
400,Caffeine citrate,EU/3/14/1261,Prevention of bronchopulmonary dysplasia,Viridian Pharma Ltd,11/04/2014,,Q2974480,bronchopulmonary dysplasia,,,http://www.orpha.net/ORDO/Orphanet_70589,D001997,,,
401,Cannabidiol,EU/3/14/1339,Treatment of Dravet syndrome,GW Pharma Ltd,15/10/2014,,Q422917,dravet syndrome,http://purl.obolibrary.org/obo/DOID_0060171,,http://www.orpha.net/ORDO/Orphanet_33069,D004831,Q1255956,Q1255956,Q17147280
402,Cannabidiol,EU/3/15/1520,Treatment of perinatal asphyxia,GW Pharma Ltd,28/07/2015,,Q422917,perinatal asphyxia,,,,,,,
403,Cannabidiol,EU/3/16/1645,Prevention of graft-versus-host disease,Richardson Associates Regulatory Affairs Ltd,28/04/2016,,Q422917,graftversushost disease,,,,D006086,,,Q1194520
404,Cannabidiol,EU/3/16/1718,Treatment of graft-versus-host disease,Richardson Associates Regulatory Affairs Ltd,29/08/2016,,Q422917,graftversushost disease,,,,D006086,,,Q1194520
405,Carbamazepine,EU/3/16/1746,"Treatment of metaphyseal chondrodysplasia, Schmid type",University of Newcastle upon Tyne,14/10/2016,,Q410412,"metaphyseal chondrodysplasia, schmid type",,,http://www.orpha.net/ORDO/Orphanet_174,,,,
406,Carbetocin,EU/3/12/975,Treatment of Prader-Willi syndrome,Ferring Pharmaceuticals A/S,21/03/2012,,Q5037853,praderwilli syndrome,http://purl.obolibrary.org/obo/DOID_11983,,http://www.orpha.net/ORDO/Orphanet_739,D011218,Q594013,,Q594013
407,Carboxy pyrrolidine hexanoyl pyrrolidine carboxylate,EU/3/14/1292,Treatment of AL amyloidosis,GlaxoSmithKline Trading Services Limited,30/07/2014,,,al amyloidosis,,,http://www.orpha.net/ORDO/Orphanet_85443,,,,
409,Cardiotrophin-1,EU/3/06/396,Prevention of the ischemia/reperfusion injury associated with solid organ transplantation,Digna Biotech S.L.,28/08/2006,,Q339975,the ischemia/reperfusion injury associated with solid organ transplantation,,,,,,,
410,Cardiotrophin-1,EU/3/11/893,Treatment of acute liver failure,Digna Biotech S.L.,30/08/2011,,Q339975,acute liver failure,,http://purl.obolibrary.org/obo/HP_0006554,http://www.orpha.net/ORDO/Orphanet_90062,D017114,,,
411,Carfilzomib,EU/3/08/548,Treatment of multiple myeloma,Amgen Europe B.V.,03/06/2008,KyprolisEU/1/15/106023/11/2015,Q15366934,multiple myeloma,http://purl.obolibrary.org/obo/DOID_9538,http://purl.obolibrary.org/obo/HP_0006775,http://www.orpha.net/ORDO/Orphanet_29073,D009101,Q467635,,Q467635
412,Carglumic acid,EU/3/08/575,Treatment of isovaleric acidaemia,Orphan Europe S.A.R.L.,07/11/2008,CarbagluEU/1/02/24601/06/2011,Q822884,isovaleric acidemia,http://purl.obolibrary.org/obo/DOID_14753,,http://www.orpha.net/ORDO/Orphanet_33,,Q3278042,Q3278042,
413,Carglumic acid,EU/3/08/576,Treatment of methylmalonic acidaemia,Orphan Europe S.A.R.L.,07/11/2008,CarbagluEU/1/02/24601/06/2011,Q822884,methylmalonic acidemia,http://purl.obolibrary.org/obo/DOID_14749,http://purl.obolibrary.org/obo/HP_0002912,,,Q742500,,
414,Carglumic acid,EU/3/08/577,Treatment of propionic acidaemia,Orphan Europe S.A.R.L.,07/11/2008,CarbagluEU/1/02/24601/06/2011,Q822884,propionic acidemia,http://purl.obolibrary.org/obo/DOID_14701,,http://www.orpha.net/ORDO/Orphanet_35,D056693,Q7250337,Q7250337,Q7250337
415,Catumaxomab,EU/3/06/414,Treatment of gastric cancer,Neovii Biotech GmbH,03/11/2006,,Q408155,gastric cancer,,http://purl.obolibrary.org/obo/HP_0012126,,D013274,,,Q189588
416,CD33-directed antibody-drug conjugate consisting of an antibody conjugated to a DNA cross-linking pyrrolobenzodiazepine dimer drug,EU/3/15/1545,Treatment of acute myeloid leukaemia,"Seattle Genetics UK, Limited",10/08/2015,,,acute myeloid leukemia,http://purl.obolibrary.org/obo/DOID_9119,http://purl.obolibrary.org/obo/HP_0004808,http://www.orpha.net/ORDO/Orphanet_519,D015470,Q264118,,Q264118
417,Cediranib,EU/3/14/1303,Treatment of ovarian cancer,AstraZeneca AB,29/07/2014,,Q5057052,ovarian cancer,http://purl.obolibrary.org/obo/DOID_2394,,http://www.orpha.net/ORDO/Orphanet_213500,D010051,Q172341,,Q172341
418,Ceftriaxone,EU/3/14/1425,Treatment of spinocerebellar ataxia,Ospedale San Raffaele s.r.l.,15/01/2015,,Q421713,spinocerebellar ataxia,,,,D020754,,,Q899726
419,Celecoxib,EU/3/01/070,Treatment of Familial Adenomatous Polyposis,Pfizer Limited,20/11/2001,OnsenalEU/1/03/25922/10/2003,Q408801,familial adenomatos polyposis,http://purl.obolibrary.org/obo/DOID_0050424,,http://www.orpha.net/ORDO/Orphanet_733,D011125,Q1369011,,Q1369011
420,Cenersen,EU/3/08/587,Treatment of chronic lymphocytic leukaemia,EleosInc Limited,03/12/2008,,Q27282015,chronic lymphocytic leukemia,http://purl.obolibrary.org/obo/DOID_1040,http://purl.obolibrary.org/obo/HP_0005550,,D015451,Q1088156,,Q1088156
421,Chemically modified human recombinant sulfamidase,EU/3/16/1747,Treatment of mucopolysaccharidosis type IIIA (Sanfilippo A syndrome),Swedish Orphan Biovitrum AB (publ),14/10/2016,,,mucopolysaccharidosis type iiia (sanfilippo a syndrome),,,,,,,
422,Chenodeoxycholic acid,EU/3/14/1406,Treatment of inborn errors of primary bile acid synthesis,sigma-tau Arzneimittel GmbH,16/12/2014,,Q419028,inborn errors of primary bile acid synthesis,,,,,,,
423,Chimeric 2'-O-(2-methoxyethyl) modified oligonucleotide targeted to huntingtin RNA,EU/3/15/1453,Treatment of Huntington&#8217;s disease,Ionis USA Limited,19/03/2015,,,huntingtons disease,http://purl.obolibrary.org/obo/DOID_12858,,,D006816,Q190564,,Q190564
424,Chimeric fusion protein of recombinant human alpha-N-acetylglucosaminidase and human insulin-like growth factor 2,EU/3/14/1422,Treatment of mucopolysaccharidosis type IIIB (Sanfilippo B syndrome),BioMarin Europe Ltd.,15/01/2015,,,mucopolysaccharidosis type iiib (sanfilippo b syndrome),,,,,,,
425,Chimeric group B adenovirus (11p/3) with deletions in the E3 and E4 regions,EU/3/15/1434,Treatment of ovarian cancer,PsiOxus Therapeutics Ltd,12/02/2015,,Q423971,ovarian cancer,http://purl.obolibrary.org/obo/DOID_2394,,http://www.orpha.net/ORDO/Orphanet_213500,D010051,Q172341,,Q172341
426,Chimeric IgG monoclonal antibody cG250,EU/3/02/094,Treatment of renal cell carcinoma,Wilex AG,19/03/2002,,,renal cell carcinoma,http://purl.obolibrary.org/obo/DOID_4450,http://purl.obolibrary.org/obo/HP_0005584,http://www.orpha.net/ORDO/Orphanet_217071,D002292,Q1164529,,Q18975905
427,Chimeric locked nucleic acid-deoxynucleoside phosphorothioate-linked oligonucleotide directed against microRNA-451,EU/3/11/940,Treatment of polycythaemia vera,Miragen Therapeutics Europe Ltd,11/01/2012,,,polycythemia vera,http://purl.obolibrary.org/obo/DOID_8997,,http://www.orpha.net/ORDO/Orphanet_729,D011087,Q948318,,Q948318
428,Chimeric monoclonal antibody against claudin 6,EU/3/12/1092,Treatment of ovarian cancer,GANYMED Pharmaceuticals AG,24/01/2013,,Q1106,ovarian cancer,http://purl.obolibrary.org/obo/DOID_2394,,http://www.orpha.net/ORDO/Orphanet_213500,D010051,Q172341,,Q172341
429,Chimeric monoclonal antibody against claudin-18 splice variant 2,EU/3/10/803,Treatment of gastric cancer,GANYMED Pharmaceuticals AG,26/11/2010,,,gastric cancer,,http://purl.obolibrary.org/obo/HP_0012126,,D013274,,,Q189588
430,Chimeric monoclonal antibody against claudin-18 splice variant 2,EU/3/13/1177,Treatment of pancreatic cancer,GANYMED Pharmaceuticals AG,05/08/2013,,,pancreatic cancer,http://purl.obolibrary.org/obo/DOID_1793,http://purl.obolibrary.org/obo/HP_0002894,,D010190,Q212961,,Q212961
431,Chimeric monoclonal antibody against GD2,EU/3/11/879,Treatment of neuroblastoma,United Therapeutics Europe Ltd,21/06/2011,UnituxinEU/1/15/102218/08/2015,,neuroblastoma,http://purl.obolibrary.org/obo/DOID_769,http://purl.obolibrary.org/obo/HP_0003006,http://www.orpha.net/ORDO/Orphanet_635,D009447,Q938205,Q938205,Q938205
432,Chimeric monoclonal antibody against GD2,EU/3/12/1062,Treatment of neuroblastoma,APEIRON Biologics AG,08/11/2012,,,neuroblastoma,http://purl.obolibrary.org/obo/DOID_769,http://purl.obolibrary.org/obo/HP_0003006,http://www.orpha.net/ORDO/Orphanet_635,D009447,Q938205,Q938205,Q938205
433,Chimeric monoclonal antibody to O-acetyl-GD2 antigen,EU/3/14/1416,Treatment of neuroblastoma,OGD2 Pharma,15/01/2015,,Q27089127,neuroblastoma,http://purl.obolibrary.org/obo/DOID_769,http://purl.obolibrary.org/obo/HP_0003006,http://www.orpha.net/ORDO/Orphanet_635,D009447,Q938205,Q938205,Q938205
434,Chimeric monoclonal antibody to shiga-toxin 1 and 2,EU/3/05/301,Treatment of shiga-toxin producing bacterial infection.,Albany Regulatory Consulting Limited,26/08/2005,,,shigatoxin producing bacterial infection.,,,,,,,
435,Chimeric-anti-interleukin-6 monoclonal antibody,EU/3/07/508,Treatment of Castleman&#8217;s disease,Janssen-Cilag International NV,30/11/2007,SylvantEU/1/14/92827/05/2014,,castlemans disease,,,,D005871,,,
436,Chlormethine,EU/3/12/963,Treatment of cutaneous T-cell lymphoma,Actelion Registration Ltd,22/05/2012,,Q418011,cutaneos tcell lymphoma,http://purl.obolibrary.org/obo/DOID_0060061,http://purl.obolibrary.org/obo/HP_0012192,,D016410,Q5196687,,Q5196687
437,Chloroquine,EU/3/14/1377,Treatment of glioma,DualTpharma B.V.,19/11/2014,,Q422438,glioma,http://purl.obolibrary.org/obo/DOID_3070,http://purl.obolibrary.org/obo/HP_0009733,http://www.orpha.net/ORDO/Orphanet_182067,D005910,Q1365309,Q1365309,Q18556612
438,"Cholest-4-en-3-one, oxime",EU/3/05/264,Treatment of 5q spinal muscular atrophy,Roche Registration Limited,10/03/2005,,Q7086437,5q spinal muscular atrophy,,,,,,,
439,Cholic acid,EU/3/02/127,Treatment of inborn errors in primary bile acid synthesis,Laboratoires CTRS,18/12/2002,OrphacolEU/1/13/87016/09/2013,Q287415,inborn errors in primary bile acid synthesis,,,,,,,
440,Cholic acid,EU/3/09/683,Treatment of inborn errors of primary bile acid synthesis responsive to treatment with cholic acid,Retrophin Europe Limited,28/10/2009,KolbamEU/1/13/89508/04/2014,Q287415,inborn errors of primary bile acid synthesis responsive to treatment with cholic acid,,,,,,,
441,Choline tetrathiomolybdate,EU/3/12/1089,Treatment of Wilson&#8217;s disease,Wilson Therapeutics AB,24/01/2013,,,wilsons disease,http://purl.obolibrary.org/obo/DOID_893,,,D006527,Q117121,,Q117121
442,Ciclosporin,EU/3/06/360,Treatment of vernal keratoconjunctivitis,Santen Oy,06/04/2006,,Q367700,vernal keratoconjunctivitis,,,http://www.orpha.net/ORDO/Orphanet_70476,D003233,,Q4119259,Q18555085
443,Ciclosporin,EU/3/07/455,Prevention of corneal graft rejection,SANTEN SAS,22/10/2007,,Q367700,corneal graft rejection,,,,,,,
444,Ciclosporin,EU/3/07/489,Treatment of Herpes simplex virus stromal keratitis,SANTEN S.A.S.,29/10/2007,,Q367700,herpes simplex virus stromal keratitis,,,,,,,
445,Ciclosporin,EU/3/10/791,Treatment of moderate and severe closed traumatic brain injury,NeuroVive Pharmaceutical AB,01/10/2010,,Q367700,moderate and severe closed traumatic brain injury,,,,,,,
446,"Ciclosporin (eye drops, solution)",EU/3/09/651,Treatment of atopic keratoconjunctivitis,Allergan Pharmaceuticals Ireland,24/07/2009,,Q4347890,atopic keratoconjunctivitis,,,http://www.orpha.net/ORDO/Orphanet_163934,,,,
447,Ciclosporin (inhalation use),EU/3/04/209,Prevention of graft rejection after lung transplantation,PARI Pharma GmbH,29/07/2004,,,graft rejection after lung transplantation,,,http://www.orpha.net/ORDO/Orphanet_91128,,,,
448,Ciclosporin (inhalation use),EU/3/04/210,Treatment of graft rejection after lung transplantation,PARI Pharma GmbH,29/07/2004,,,graft rejection after lung transplantation,,,http://www.orpha.net/ORDO/Orphanet_91128,,,,
449,Ciprofloxacin (inhalation use),EU/3/07/469,Treatment of cystic fibrosis,Bayer Pharma AG,03/08/2007,,,cystic fibrosis,http://purl.obolibrary.org/obo/DOID_1485,,http://www.orpha.net/ORDO/Orphanet_586,D003550,Q178194,,Q178194
450,Ciprofloxacin (liposomal),EU/3/09/652,Treatment of cystic fibrosis,Aradigm Limited,24/07/2009,,,cystic fibrosis,http://purl.obolibrary.org/obo/DOID_1485,,http://www.orpha.net/ORDO/Orphanet_586,D003550,Q178194,,Q178194
451,Cisplatin,EU/3/16/1719,Treatment of malignant mesothelioma,PlumeStars s.r.l.,29/08/2016,,Q412415,malignant mesothelioma,http://purl.obolibrary.org/obo/DOID_1790,http://purl.obolibrary.org/obo/HP_0100001,,,Q1077603,,
452,Cisplatin (liposomal),EU/3/07/451,Treatment of pancreatic cancer,Regulon AE,08/06/2007,,,pancreatic cancer,http://purl.obolibrary.org/obo/DOID_1793,http://purl.obolibrary.org/obo/HP_0002894,,D010190,Q212961,,Q212961
453,Citric acid monohydrate,EU/3/16/1675,Treatment of acute liver failure,CATS Consultants GmbH,27/06/2016,,Q27114303,acute liver failure,,http://purl.obolibrary.org/obo/HP_0006554,http://www.orpha.net/ORDO/Orphanet_90062,D017114,,,
454,Cladribine,EU/3/13/1182,Treatment of mastocytosis,Lipomed GmbH,05/08/2013,,Q414030,mastocytosis,http://purl.obolibrary.org/obo/DOID_350,http://purl.obolibrary.org/obo/HP_0100495,http://www.orpha.net/ORDO/Orphanet_98292,D008415,Q112670,,Q112670
455,Clonidine hydrochloride,EU/3/11/919,Prevention of oral mucositis in head and neck cancer patients undergoing radiation therapy,Onxeo,27/10/2011,,Q27292429,oral mucositis in head and neck cancer patients undergoing radiation therapy,,,,,,,
456,"Combination of 4-hydroxyandrostenedione, Serenoa serrulata fruit extract and alpha lipoic acid",EU/3/16/1646,Treatment of multiple symmetric lipomatosis,Dr Regenold GmbH Development·Regulatory·Market Access,28/04/2016,,,multiple symmetric lipomatosis,http://purl.obolibrary.org/obo/DOID_14116,,http://www.orpha.net/ORDO/Orphanet_2398,D008069,Q4887975,,Q18555303
457,Combretastatin A1 diphosphate,EU/3/15/1587,Treatment of acute myeloid leukaemia,Diamond BioPharm Limited,14/12/2015,,Q27095572,acute myeloid leukemia,http://purl.obolibrary.org/obo/DOID_9119,http://purl.obolibrary.org/obo/HP_0004808,http://www.orpha.net/ORDO/Orphanet_519,D015470,Q264118,,Q264118
458,"Copper meso-5,15-bis[3-[(1,2-dicarba-closo-dodecaboranyl)methoxy]phenyl]-meso-10,20-dinitroporphyrin",EU/3/13/1138,Treatment of squamous cell carcinoma of the head and neck in patients undergoing radiotherapy,MorEx Development Partners LLP,27/06/2013,,,squamos cell carcinoma of the head and neck in patients undergoing radiotherapy,,,,,,,
459,Covalently closed DNA plasmids coding for cytomegalovirus phosphoprotein 65 and glycoprotein B genes,EU/3/12/1042,Prevention of cytomegalovirus disease in patients with impaired cell mediated immunity deemed at risk,Astellas Pharma Europe B.V.,09/08/2012,,,cytomegalovirus disease in patients with impaired cell mediated immunity deemed at risk,,,,,,,
460,Crenolanib besylate,EU/3/16/1748,Treatment of acute myeloid leukemia,Arog Pharmaceuticals Europe Ltd,14/10/2016,,Q27283841,acute myeloid leukemia,http://purl.obolibrary.org/obo/DOID_9119,http://purl.obolibrary.org/obo/HP_0004808,http://www.orpha.net/ORDO/Orphanet_519,D015470,Q264118,,Q264118
461,Crenolanib besylate,EU/3/16/1749,Treatment of soft tissue sarcoma,Arog Pharmaceuticals Europe Ltd,14/10/2016,,Q27283841,soft tissue sarcoma,,http://purl.obolibrary.org/obo/HP_0030448,http://www.orpha.net/ORDO/Orphanet_3394,D012509,,,Q18975788
462,Cultured allogeneic corneal limbal stem cells,EU/3/14/1340,Treatment of limbal stem cell deficiency,NHS National Services Scotland Trading as Scottish National Blood Transfusion Service,15/10/2014,,,limbal stem cell deficiency,,,,,,,
463,Cyclic pyranopterin monophosphate,EU/3/10/777,Treatment of molybdenum cofactor deficiency type A,Alexion Europe SAS,20/09/2010,,Q27126832,molybdenum cofactor deficiency type a,,,,,,,
464,Cyclocreatine,EU/3/16/1676,Treatment of creatine deficiency syndromes,Pharma Gateway AB,27/06/2016,,Q27076942,creatine deficiency syndromes,,,,,,,
465,Cyclo-Cys-Gly-Gln-Arg-Glu-Thr-Pro-Glu-Gly-Ala-Glu-Ala-Lys-Pro-Trp-Tyr-Cys,EU/3/13/1102,Treatment of high altitude pulmonary oedema,Apeptico Forschung und Entwicklung GmbH,08/02/2013,,,high altitude pulmonary oedema,,,,,,,
466,"Cyclo(-gamma-aminobutyryl-L-phenylalanyl-L-tryptophanyl-D-tryptophanyl-L-lysyl-L-threonyl-L phenylalanyl-N-3-carboxypropyl)-glycine amide, acetate salt",EU/3/12/1075,Treatment of acromegaly,Cortendo AB,06/12/2012,,,acromegaly,http://purl.obolibrary.org/obo/DOID_2449,http://purl.obolibrary.org/obo/HP_0000845,http://www.orpha.net/ORDO/Orphanet_963,D000172,Q189580,,Q189580
467,Cyclo[L-alanyl-L-seryl-L-isoleucyl-L-prolyl-L-prolyl-L-glutaminyl-L-lysyl-L-tyrosyl-D-prolyl-L-prolyl-(2S)-2-aminodecanoyl-L-alpha-glutamyl-L-threonyl] acetate salt,EU/3/13/1114,Treatment of congenital alpha-1 antitrypsin deficiency,Polyphor UK Ltd,20/03/2013,,,congenital alpha1 antitrypsin deficiency,,,,,,,
468,"Cyclopropane-1,1-dicarboxylic acid [4-(6,7-dimethoxy-quinolin-4-yloxy)-phenyl]-amide (4-fluoro-phenyl)-amide, (L)-malate salt",EU/3/08/610,Treatment of medullary thyroid carcinoma,Ipsen Pharma,06/02/2009,CometriqEU/1/13/89026/03/2014,Q27263708,medullary thyroid carcinoma,http://purl.obolibrary.org/obo/DOID_3973,http://purl.obolibrary.org/obo/HP_0002865,http://www.orpha.net/ORDO/Orphanet_1332,,Q3493538,,
469,Cysteamine,EU/3/11/928,Treatment of cystic fibrosis,NovaBiotics Ltd,09/12/2011,,Q617563,cystic fibrosis,http://purl.obolibrary.org/obo/DOID_1485,,http://www.orpha.net/ORDO/Orphanet_586,D003550,Q178194,,Q178194
470,Cysteamine,EU/3/14/1240,Treatment of cystic fibrosis,Horizon Pharma Europe B.V.,19/02/2014,,Q617563,cystic fibrosis,http://purl.obolibrary.org/obo/DOID_1485,,http://www.orpha.net/ORDO/Orphanet_586,D003550,Q178194,,Q178194
471,Cysteamine bitartrate,EU/3/14/1252,Treatment of pancreatic cancer,Horizon Pharma Europe B.V.,26/03/2014,,Q27122045,pancreatic cancer,http://purl.obolibrary.org/obo/DOID_1793,http://purl.obolibrary.org/obo/HP_0002894,,D010190,Q212961,,Q212961
472,Cysteamine bitartrate,EU/3/14/1306,Treatment of Huntington&#8217;s disease,Horizon Pharma Europe B.V.,29/07/2014,,Q27122045,huntingtons disease,http://purl.obolibrary.org/obo/DOID_12858,,,D006816,Q190564,,Q190564
473,Cysteamine bitartrate (gastroresistant),EU/3/10/778,Treatment of cystinosis,Horizon Pharma Europe B.V.,20/09/2010,ProcysbiEU/1/13/86110/09/2013,,cystinosis,http://purl.obolibrary.org/obo/DOID_1064,,http://www.orpha.net/ORDO/Orphanet_213,D003554,Q1149042,Q1149042,Q1149042
474,Cysteamine hydrochloride,EU/3/08/578,Treatment of cystinosis,Orphan Europe S.A.R.L.,07/11/2008,,Q27280697,cystinosis,http://purl.obolibrary.org/obo/DOID_1064,,http://www.orpha.net/ORDO/Orphanet_213,D003554,Q1149042,Q1149042,Q1149042
475,Cysteamine hydrochloride,EU/3/14/1341,Treatment of cystinosis,Lucane Pharma SA,15/10/2014,,Q27280697,cystinosis,http://purl.obolibrary.org/obo/DOID_1064,,http://www.orpha.net/ORDO/Orphanet_213,D003554,Q1149042,Q1149042,Q1149042
476,Cytochrome P450 isoform 2B1 gene transfected human embryonic kidney 293 cells encapsulated in polymeric cellulose sulphate,EU/3/03/149,Treatment of pancreatic cancer in combination with ifosfamide,Pharmacyte Biotech Europe Limited,30/06/2003,,,pancreatic cancer in combination with ifosfamide,,,,,,,
477,Dantrolene sodium,EU/3/14/1379,Treatment of malignant hyperthermia,Eagle Laboratories Limited,19/11/2014,,Q27225695,malignant hyperthermia,http://purl.obolibrary.org/obo/DOID_8545,http://purl.obolibrary.org/obo/HP_0002047,,D008305,Q1585081,,Q1585081
478,Dantrolene sodium,EU/3/16/1800,Treatment of Wolfram syndrome,Alan Boyd Consultants Ltd,12/12/2016,,Q27225695,wolfram syndrome,http://purl.obolibrary.org/obo/DOID_10632,,http://www.orpha.net/ORDO/Orphanet_3463,D014929,Q1153641,,Q1153641
479,Daratumumab,EU/3/13/1153,Treatment of plasma cell myeloma,Janssen-Cilag International NV,17/07/2013,DarzalexEU/1/16/110124/05/2016,Q5222113,plasma cell myeloma,http://purl.obolibrary.org/obo/DOID_9538,,http://www.orpha.net/ORDO/Orphanet_29073,D009101,Q467635,,Q467635
480,Darinaparsin,EU/3/11/850,"Treatment of peripheral T-cell lymphoma (nodal, other extranodal and leukaemic/disseminated)",IDEA Innovative Drug European Associates Limited,15/04/2011,,Q27166111,"peripheral tcell lymphoma (nodal, other extranodal and leukemic/disseminated)",,,,,,,
481,Daunorubicin (liposomal),EU/3/08/585,Treatment of acute myeloid leukaemia,Diatos S. A.,03/12/2008,,,acute myeloid leukemia,http://purl.obolibrary.org/obo/DOID_9119,http://purl.obolibrary.org/obo/HP_0004808,http://www.orpha.net/ORDO/Orphanet_519,D015470,Q264118,,Q264118
482,Decitabine,EU/3/03/135,Treatment of myelodysplastic syndromes,Janssen-Cilag International NV,14/02/2003,,Q1181878,myelodysplastic syndromes,,,,D009190,,,Q954625
483,Decitabine,EU/3/06/370,Treatment of acute myeloid leukaemia,Janssen-Cilag International NV,08/06/2006,DacogenEU/1/12/79224/09/2012,Q1181878,acute myeloid leukemia,http://purl.obolibrary.org/obo/DOID_9119,http://purl.obolibrary.org/obo/HP_0004808,http://www.orpha.net/ORDO/Orphanet_519,D015470,Q264118,,Q264118
484,Deferiprone,EU/3/10/832,Treatment of sickle cell disease,Apotex Europe B.V.,23/02/2011,,Q749664,sickle cell disease,,,http://www.orpha.net/ORDO/Orphanet_232,D000755,,,Q185034
485,Defibrotide,EU/3/04/211,Prevention of hepatic veno-occlusive disease,Gentium S.r.I.,29/07/2004,,Q3704725,hepatic venoocclusive disease,,,http://www.orpha.net/ORDO/Orphanet_890,D006504,,,Q5731687
486,Defibrotide,EU/3/04/212,Treatment of hepatic veno-occlusive disease,Gentium S.r.I.,29/07/2004,DefitelioEU/1/13/87822/10/2013,Q3704725,hepatic venoocclusive disease,,,http://www.orpha.net/ORDO/Orphanet_890,D006504,,,Q5731687
